ReadingScore,WritingScore
72,74
90,88
95,93
57,44
78,75
83,78
95,92
43,39
64,67
60,50
54,52
52,43
81,73
72,70
53,58
75,78
89,86
32,28
42,46
58,61
69,63
75,70
54,53
73,73
71,80
74,72
54,55
69,75
70,65
70,75
74,74
65,61
72,65
42,38
87,82
81,79
81,83
64,59
90,88
56,57
61,54
73,68
58,65
65,66
56,54
54,57
65,62
71,76
74,76
84,82
55,48
69,68
44,42
78,75
84,87
41,43
85,86
55,49
59,58
17,10
74,72
39,34
61,55
80,71
58,59
64,61
37,37
72,74
58,56
64,57
63,73
55,63
51,48
57,56
49,41
41,38
26,22
78,81
74,72
68,68
49,50
45,45
47,54
64,63
39,34
80,82
83,88
71,74
70,67
86,82
72,74
34,36
79,71
45,50
86,92
81,82
66,62
72,70
67,62
67,62
67,67
74,74
91,89
44,47
86,90
67,72
100,100
63,64
76,70
64,72
89,98
55,49
53,47
58,54
100,100
77,74
85,82
82,79
63,61
69,65
92,89
89,92
93,93
57,56
80,73
95,86
68,67
77,74
82,74
49,51
84,82
37,40
74,70
81,84
79,75
55,48
54,41
55,56
66,67
61,69
72,71
62,64
55,54
43,47
73,78
39,33
84,75
68,66
75,81
100,93
67,69
67,68
70,66
49,47
67,61
89,88
74,78
60,60
86,87
62,64
78,74
88,85
53,52
53,49
92,91
100,100
51,51
76,78
83,78
75,70
73,74
88,78
86,81
67,70
51,54
91,87
54,58
77,77
70,62
100,100
68,75
64,66
50,47
69,70
52,49
67,65
76,65
66,68
52,45
88,87
65,69
83,79
64,66
62,62
84,85
55,52
69,65
56,51
53,55
79,76
84,86
81,77
77,69
69,68
41,42
71,78
62,62
80,76
81,76
61,66
79,79
28,27
62,60
51,56
91,81
83,75
86,88
42,39
77,70
56,56
68,74
85,73
65,62
80,75
66,73
56,54
72,71
50,54
72,64
95,94
64,66
43,42
86,83
87,78
82,84
75,77
66,67
60,74
52,51
80,80
68,66
83,83
52,55
51,43
74,69
76,71
76,74
70,68
64,62
60,53
49,49
83,83
70,70
80,72
52,52
73,70
73,68
77,77
75,78
81,81
79,77
79,78
50,51
93,90
73,68
42,41
75,81
72,77
92,95
76,70
63,61
49,42
53,58
70,71
85,76
78,73
92,93
63,75
86,80
56,57
52,42
48,46
79,84
78,78
46,46
82,82
82,88
89,82
75,76
76,77
70,68
73,70
60,57
73,75
77,80
62,60
41,43
74,68
46,50
87,75
78,81
54,52
84,81
76,64
75,83
67,69
87,81
52,44
71,67
57,52
76,80
60,57
61,68
67,69
64,75
66,65
82,91
72,78
71,69
65,63
79,84
